WORD	AoA	AoA	IMG	FAM	LEN_L	LEN_S	LEN_P	MLBF	N
	(Yrs)	(100-700)							
relate	7.7	473	226	537	6	2	5	2.72	1
relay	7.1	413	319	469	5	2	4	2.44	4
release	6.7	400	269	543	7	2	5	2.83	0
relic	9.3	587	386	398	5	2	5	2.48	0
relish	8.7	533	295	647	6	2	5	2.75	0
remote	7.4	433	382	553	6	2	5	2.74	1
rent	7.7	417	389	516	4	1	4	3.16	12
repel	8.5	511	262	476	5	2	5	2.51	2
request	7.4	442	154	527	7	2	7	2.53	1
resent	9.1	538	242	476	6	2	6	3.04	3
reserve	7.4	454	214	526	7	2	5	2.73	1
reset	7.7	456	166	520	5	2	5	2.36	1
resign	8.7	520	239	453	6	2	5	2.64	1
resort	7.4	446	369	469	6	2	5	2.73	2
restore	8.3	512	178	488	7	2	6	3.01	0
reverse	6.5	380	376	532	7	2	5	2.84	1
revoke	10.2	626	217	395	6	2	5	2.29	0
reward	5.9	321	413	516	6	2	5	2.65	2
rhythm	6.5	386	300	516	6	2	5	1.57	0
rice	4.9	268	622	584	4	1	3	2.84	13
ride	4.3	223	482	562	4	1	3	2.90	14
ripe	5.7	314	436	506	4	1	3	2.49	10
river	4.2	214	608	525	5	2	5	3.34	10
roach	10.5	648	365	385	5	1	3	3.08	3
robe	6.4	359	566	491	4	1	3	2.23	8
rock	4.3	223	583	551	4	1	3	2.85	12
roll	4.6	236	514	525	4	1	3	3.33	7
root	5.6	322	539	457	4	1	3	3.10	14
rough	5.4	299	343	555	5	1	3	2.86	5
rude	5.2	275	293	606	4	1	3	2.32	6
ruffle	7.6	452	380	447	6	2	4	2.19	2
ruin	6.8	392	376	527	4	2	4	2.38	2
rupee	9.8	603	269	382	5	2	4	2.34	0
rural	8.4	513	438	499	5	2	5	2.55	2
sack	5.4	305	555	471	4	1	3	3.48	14
safe	4.9	259	274	569	4	1	3	2.89	7
sail	5.2	295	599	454	4	1	3	3.25	12
saint	6.8	394	421	429	5	1	4	3.01	4
sale	6.5	376	446	572	4	1	3	3.29	17
saloon	8.1	498	555	384	6	2	5	2.76	1
salute	7.0	414	559	417	6	2	5	2.56	0
salvage	8.3	500	300	438	7	2	6	2.40	0
sane	8.1	492	262	495	4	1	3	3.43	18
sausage	4.3	221	659	553	7	2	5	2.45	0
scabby	6.6	376	432	484	6	2	5	1.95	1
scalpel	9.1	574	585	426	7	2	7	2.02	0
scar	5.7	331	590	482	4	1	4	1.77	5
scarce	8.4	505	178	462	6	1	4	2.60	0
scarf	4.8	269	610	591	5	1	4	2.30	3
scent	7.8	473	291	458	5	1	4	2.62	3
scholar	9.0	547	442	454	7	2	6	2.34	0
scoop	5.0	266	416	486	5	1	4	2.10	4
scope	9.3	570	191	422	5	1	4	2.15	3
score	5.5	298	340	550	5	1	4	2.70	9
scrap	6.0	333	425	501	5	1	5	2.07	2
screen	5.6	298	530	527	6	1	5	2.89	1
screw	5.6	310	517	520	5	1	4	2.28	3
script	7.7	460	498	462	6	1	6	2.49	0
scrum	8.5	492	502	449	5	1	5	1.83	3
seal	5.8	320	607	458	4	1	3	3.18	13
seat	4.5	243	604	599	4	1	3	3.63	15
section	7.0	422	255	540	7	2	5	3.08	1
sector	9.6	590	235	441	6	2	6	2.86	3
secure	7.3	428	245	537	6	2	6	2.97	0
seed	5.0	275	438	491	4	1	3	3.33	18
seek	5.8	322	331	495	4	1	3	3.11	10
seesaw	3.7	172	628	442	6	2	4	1.95	0
seize	7.9	477	178	472	5	1	3	2.33	1
seldom	8.9	547	191	465	6	2	6	2.59	0
select	6.5	380	246	558	6	2	6	2.83	0
selfish	6.1	337	225	562	7	2	6	2.44	0
sell	5.1	279	295	547	4	1	3	3.46	11
senate	10.6	645	248	433	6	2	5	2.66	1
send	5.1	283	274	614	4	1	4	3.22	8
senior	7.2	426	321	506	6	2	6	2.83	1
sensual	10.1	634	300	475	7	2	7	2.66	0
septic	9.7	594	382	419	6	2	6	2.38	1
serene	9.7	600	390	432	6	2	5	3.00	0
sermon	8.0	490	364	412	6	2	5	2.88	0
serve	6.3	345	269	523	5	1	3	2.64	3
session	7.4	439	250	521	7	2	4	2.97	1
setback	8.8	546	205	482	7	2	6	2.22	0
seventh	5.0	272	274	520	7	2	5	2.71	1
severe	7.2	429	245	517	6	2	5	2.92	1
shade	5.6	293	459	509	5	1	3	2.88	8
shaft	8.3	500	390	427	5	1	4	2.62	2
shallow	6.1	353	442	506	7	2	4	2.47	1
shame	6.9	366	356	539	5	1	3	2.72	6
shape	4.5	255	493	561	5	1	3	2.58	6
share	4.6	250	315	580	5	1	3	3.32	14
shark	4.9	252	645	462	5	1	3	2.83	6
sharp	4.3	230	514	523	5	1	3	2.85	2
shave	6.7	394	517	557	5	1	3	2.96	10
sheep	3.9	199	641	484	5	1	3	3.12	6
sheer	8.5	516	334	432	5	1	3	3.51	7
shelf	5.2	282	571	546	5	1	4	2.72	2
shell	5.1	282	608	473	5	1	3	3.26	5
sherry	8.3	498	426	440	6	2	4	2.48	1
shift	6.6	380	270	497	5	1	4	2.84	3
shine	5.3	289	481	532	5	1	3	3.39	10
shiny	4.6	241	547	540	5	2	4	3.28	3
shoe	3.3	152	640	635	4	1	2	2.26	6
shone	7.0	396	413	425	5	1	3	3.13	6
shook	6.1	348	307	498	5	1	3	2.84	3
shoot	5.7	330	474	499	5	1	3	2.82	4
shore	5.8	320	555	473	5	1	3	3.28	13
shot	5.0	276	446	530	4	1	3	2.70	12
shown	5.8	327	190	576	5	1	3	3.08	3
shrewd	10.1	620	248	424	6	1	4	2.22	1
shrill	9.3	574	300	419	6	1	4	2.67	1
shroud	9.7	599	364	385	6	1	4	2.60	0
shudder	7.8	472	356	476	7	2	5	2.44	0
sick	4.0	197	518	564	4	1	3	2.99	15
signal	6.5	350	490	520	6	2	5	2.51	0
silence	4.8	277	413	559	7	2	6	2.80	0
silent	4.7	256	303	576	6	2	6	2.85	0
silk	7.0	407	590	485	4	1	4	3.05	7
simple	5.4	299	195	583	6	2	5	3.07	6
sincere	8.5	505	250	487	7	2	6	2.89	0
sing	4.2	218	465	573	4	1	3	3.15	13
sink	4.5	244	611	574	4	1	4	2.96	13
sixteen	5.0	268	390	489	7	2	7	2.68	0
sixth	5.0	261	305	524	5	1	5	2.53	1
sixty	5.1	283	427	546	5	2	6	2.45	1
sketch	6.5	357	496	490	6	1	4	1.93	0
skill	6.6	365	305	549	5	1	4	2.65	4
skin	4.3	214	603	607	4	1	4	2.30	7
skinny	6.5	386	559	583	6	2	5	2.06	0
skull	7.0	423	640	443	5	1	4	2.56	1
slab	7.7	449	455	418	4	1	4	2.19	8
slack	7.4	423	297	472	5	1	4	3.00	7
slave	6.4	349	580	461	5	1	4	2.86	4
sleek	8.3	508	385	469	5	1	4	2.49	2
slice	5.3	287	547	566	5	1	4	3.00	4
slick	8.8	539	335	460	5	1	4	2.93	6
slide	4.3	217	551	506	5	1	4	2.47	4
slight	7.3	430	200	553	6	1	4	2.63	4
slip	4.6	255	426	521	4	1	4	2.12	11
slipper	4.6	260	594	502	7	2	6	2.58	2
slope	5.8	331	469	514	5	1	4	2.49	3
slow	4.4	247	365	614	4	1	3	2.64	12
slum	8.3	507	408	434	4	1	4	2.06	10
slump	7.7	460	438	453	5	1	5	2.11	4
smart	5.7	313	330	569	5	1	4	3.03	1
smell	4.0	192	313	635	5	1	4	2.69	5
smile	3.8	218	647	640	5	1	4	2.94	2
snap	5.2	282	429	513	4	1	4	1.72	5
snatch	5.3	289	366	520	6	1	4	2.16	0
snuggle	5.3	302	453	533	7	2	5	1.88	1
soak	5.5	291	409	530	4	1	3	2.72	3
sober	9.0	561	290	597	5	2	5	2.64	0
sofa	4.7	252	619	603	4	2	4	2.26	3
solar	8.3	502	435	443	5	2	5	2.51	3
sole	7.2	426	338	472	4	1	3	3.20	11
sonar	11.5	686	260	402	5	2	5	2.62	1
sonic	9.3	564	307	371	5	2	5	2.52	2
sonnet	10.8	655	356	382	6	2	5	2.96	1
sore	4.7	252	358	517	4	1	3	3.68	14
sought	8.1	493	205	445	6	1	3	2.91	3
soul	7.6	466	280	521	4	1	3	2.87	4
soup	4.8	260	608	537	4	1	3	2.76	4
sour	6.4	353	358	499	4	2	4	3.39	11
source	8.3	485	250	499	6	1	3	2.97	0
soviet	11.2	700	310	381	6	2	5	2.96	0
soya	10.1	616	341	456	4	2	3	2.16	2
spark	6.3	368	552	465	5	1	4	2.66	4
spear	6.6	376	557	440	5	1	4	2.92	4
special	4.7	259	256	596	7	2	5	2.73	0
spell	4.9	269	429	552	5	1	4	2.90	5
sphere	7.5	442	553	439	6	1	4	2.64	0
spin	4.8	254	395	475	4	1	4	2.04	5
spine	7.3	423	543	492	5	1	4	2.87	9
spire	7.2	438	483	426	5	2	5	2.80	7
spit	4.7	255	517	505	4	1	4	1.93	6
split	6.0	325	453	519	5	1	5	2.30	1
sponge	5.0	268	566	513	6	1	5	2.58	1
spooky	5.9	353	413	512	6	2	5	2.11	1
sport	4.6	246	546	617	5	1	4	2.78	5
spread	5.8	328	425	568	6	1	5	2.61	0
spring	5.1	269	526	499	6	1	5	3.08	5
spur	8.7	518	404	412	4	1	4	2.17	4
squad	7.5	438	432	488	5	1	5	1.98	3
squash	5.1	283	483	533	6	1	5	2.19	0
squat	8.0	492	418	445	5	1	5	2.09	2
squeeze	4.9	266	472	497	7	1	5	1.72	0
stake	7.5	446	469	473	5	1	4	2.80	9
stale	6.4	368	353	488	5	1	4	3.21	12
stall	6.2	354	441	483	5	1	4	3.21	5
stammer	8.2	507	343	422	7	2	6	2.75	0
stance	9.3	574	154	449	6	1	5	2.95	1
star	4.0	197	640	514	4	1	4	2.74	7
stare	5.7	334	405	540	5	1	4	3.42	13
stark	8.0	477	214	429	5	1	4	2.93	9
startle	7.3	438	353	477	7	2	5	2.84	0
starve	6.4	380	395	564	6	1	4	2.50	0
status	8.9	553	225	485	6	2	6	2.67	2
steamer	8.0	477	360	447	7	2	6	2.73	1
steel	7.3	433	516	485	5	1	4	2.95	4
steep	5.9	341	461	547	5	1	4	2.82	7
steer	6.2	356	365	460	5	1	4	3.21	5
stem	5.9	335	421	465	4	1	4	2.73	4
stern	7.3	425	329	454	5	1	4	2.97	1
steroid	11.1	692	329	433	7	2	6	2.15	0
steward	8.2	491	438	453	7	2	6	2.39	0
stick	4.6	255	444	532	5	1	4	3.30	5
stiff	5.8	330	376	532	5	1	4	2.78	3
stingy	7.6	449	275	499	6	2	6	2.66	1
stir	5.6	298	475	550	4	1	4	2.17	1
stock	8.2	493	300	479	5	1	4	2.95	6
stole	5.6	310	251	523	5	1	4	3.08	7
stolen	5.4	302	311	520	6	2	6	2.74	0
stomach	4.7	260	520	558	7	2	6	2.47	0
stone	4.1	206	615	513	5	1	4	3.09	8
storage	6.8	406	403	512	7	2	6	2.71	0
storey	7.0	407	384	464	6	2	5	2.59	3
storm	4.9	261	596	525	5	1	4	2.78	3
stout	9.5	585	316	428	5	1	4	3.32	5
strand	7.1	420	356	479	6	1	6	2.91	0
strap	5.4	307	474	510	5	1	5	2.33	4
stray	6.4	373	238	472	5	1	4	2.51	3
streak	7.8	487	363	449	6	1	5	2.60	1
stream	5.4	299	580	495	6	1	5	2.76	2
stretch	5.9	349	420	572	7	1	5	2.44	0
strict	6.0	353	300	536	6	1	6	3.02	0
strife	9.4	585	234	397	6	1	5	2.34	4
string	4.6	243	620	499	6	1	5	3.30	3
strip	6.9	400	464	505	5	1	5	2.12	1
strode	7.8	472	310	447	6	1	5	2.80	3
stroke	5.4	299	390	478	6	1	5	2.55	3
stroll	6.2	359	384	495	6	1	5	2.49	1
struck	6.2	353	334	479	6	1	5	2.51	0
strung	7.2	420	304	438	6	1	5	2.96	3
stubble	7.6	446	587	504	7	2	5	2.37	2
stuck	5.1	279	351	547	5	1	4	2.83	3
stumble	6.3	366	433	482	7	2	6	2.44	1
style	7.1	382	399	567	5	1	4	2.68	3
suburb	8.6	524	465	472	6	2	5	2.28	0
sugar	4.2	213	596	654	5	2	4	2.43	0
sulky	5.3	298	350	510	5	2	5	2.11	4
sulphur	9.8	610	368	384	7	2	6	1.93	0
sultan	9.1	568	409	380	6	2	6	2.15	1
sung	5.6	313	351	497	4	1	3	2.91	10
sunk	5.6	313	386	476	4	1	4	2.72	11
super	5.1	283	220	572	5	2	5	2.55	1
superb	6.1	352	190	546	6	2	5	2.48	0
supreme	8.4	510	185	456	7	2	6	2.52	0
surf	6.3	368	580	479	4	1	3	2.38	3
surge	8.7	533	256	445	5	1	3	2.56	2
surplus	10.8	663	256	461	7	2	6	2.49	0
survive	6.4	368	311	512	7	2	5	2.77	0
suspend	7.9	472	295	479	7	2	7	2.72	0
sustain	9.3	574	148	476	7	2	6	2.88	0
swallow	4.9	274	523	547	7	2	5	2.16	1
swamp	6.7	400	555	415	5	1	5	2.18	2
sway	7.4	440	321	472	4	1	3	2.54	9
sweat	6.1	338	481	562	5	1	4	2.71	3
sweep	5.6	295	547	486	5	1	4	2.48	4
swept	5.9	330	371	493	5	1	5	2.25	3
swift	7.1	394	323	443	5	1	5	2.25	1
swim	4.3	248	627	543	4	1	4	1.74	5
swindle	9.8	607	269	425	7	2	6	2.31	2
swing	4.7	254	590	496	5	1	4	3.01	6
symbol	6.9	413	369	514	6	2	5	2.22	0
symptom	7.8	456	208	520	7	2	7	2.09	0
syringe	8.1	485	543	453	7	2	6	2.40	0
syrup	5.3	296	535	471	5	2	5	1.58	0
taboo	10.1	637	154	429	5	2	4	1.96	1
tail	11.1	210	571	476	4	1	3	3.08	12
taken	4.2	276	195	622	5	2	5	3.08	5
tale	5.3	283	285	491	4	1	3	3.12	16
tall	5.1	214	515	579	4	1	3	3.39	15
tandem	4.0	505	369	405	6	2	6	2.85	0
tango	8.4	516	529	450	5	2	5	2.38	2
tank	5.4	296	572	439	4	1	4	3.04	12
taper	9.8	581	208	369	5	2	5	3.02	5
tariff	10.7	655	237	436	6	2	5	2.25	0
taught	6.0	339	295	572	6	1	3	2.74	2
teach	5.1	286	412	577	5	1	3	3.30	5
team	5.4	296	517	565	4	1	3	2.91	9
tedious	9.8	602	232	492	7	2	6	2.69	0
teeth	3.7	198	636	588	5	1	3	2.75	1
tense	7.9	472	286	532	5	1	4	2.92	4
tension	7.7	466	319	514	7	2	5	2.84	1
tenth	5.4	299	325	466	5	1	4	2.81	3
tepid	10.2	632	265	397	5	2	5	2.25	0
texture	7.9	480	405	509	7	2	7	2.47	0
theatre	5.9	330	566	520	7	2	5	2.92	0
theme	7.2	414	154	524	5	1	3	3.25	3
thick	5.2	289	453	577	5	1	3	3.64	3
thigh	6.4	361	543	537	5	1	2	2.95	0
thin	4.8	254	525	600	4	1	3	3.67	6
thirst	4.3	210	375	577	6	1	4	2.92	0
thirsty	4.0	199	378	647	7	2	5	2.44	0
thirty	5.1	286	429	510	6	2	4	2.81	0
thorn	5.9	341	595	469	5	1	3	3.12	1
thrill	7.3	392	403	502	6	1	4	2.69	2
throat	5.4	307	538	541	6	1	4	2.59	1
throne	5.6	308	583	415	6	1	4	2.86	1
thrust	8.3	498	384	469	6	1	5	2.65	1
tickle	4.2	229	450	529	6	2	4	2.58	5
tight	5.4	298	325	586	5	1	3	3.26	8
till	5.7	320	520	579	4	1	3	3.53	15
tilt	7.4	453	421	482	4	1	4	3.19	9
tinsel	4.6	243	591	435	6	2	5	2.49	0
tiny	4.6	248	463	581	4	2	4	3.26	5
tire	7.4	428	293	454	4	2	4	3.34	13
tissue	4.8	263	628	601	6	2	4	2.33	0
titan	11.1	700	330	376	5	2	5	2.68	0
toddle	6.0	356	320	415	6	2	4	2.78	0
toga	9.7	586	444	394	4	2	4	1.93	2
toilet	3.4	164	632	666	6	2	5	2.75	1
toll	8.4	492	302	413	4	1	3	3.36	12
tone	7.0	423	283	520	4	1	3	3.21	15
tongue	4.0	199	628	534	6	1	3	2.49	0
tooth	4.1	206	602	565	5	1	3	2.89	1
torch	5.0	268	627	479	5	1	3	3.09	2
toss	6.9	415	370	468	4	1	3	3.17	11
tough	6.2	364	290	534	5	1	3	2.84	5
tour	6.7	394	354	483	4	1	3	3.29	7
tourist	7.1	426	528	506	7	2	6	2.82	1
toward	6.2	359	172	601	6	2	5	2.57	1
toxic	7.9	480	511	472	5	2	6	2.08	3
toxin	10.6	663	315	423	5	2	6	2.20	1
trace	6.5	380	239	480	5	1	4	3.17	7
tractor	4.5	240	655	425	7	2	7	2.45	1
traffic	5.4	291	599	621	7	2	6	2.37	0
tragic	8.0	492	288	494	6	2	6	2.46	0
trailer	7.0	407	538	477	7	2	6	2.89	4
trainer	6.2	345	602	575	7	2	6	2.98	3
traitor	8.1	495	300	454	7	2	6	2.52	1
trample	7.0	400	335	460	7	2	6	2.69	0
transit	9.0	540	293	438	7	2	7	2.34	0
trap	5.3	296	469	486	4	1	4	2.25	6
trauma	9.1	553	403	460	6	2	5	2.22	0
tray	5.1	282	499	542	4	1	3	2.57	7
tread	6.4	359	351	504	5	1	4	3.03	5
treason	8.6	519	257	405	7	2	5	2.60	0
treble	8.5	513	252	442	6	2	5	2.58	0
tree	3.6	171	644	565	4	1	3	2.56	4
trench	8.6	532	475	432	6	1	5	2.73	1
trend	8.2	488	260	540	5	1	5	3.06	1
tribe	7.1	401	505	447	5	1	4	2.51	4
tribute	8.9	540	300	475	7	2	7	2.19	1
trick	5.4	294	423	522	5	1	4	3.23	7
trimmer	6.9	394	384	408	7	2	6	2.73	2
trinket	8.1	484	450	402	7	2	7	2.55	0
trio	7.5	439	453	441	4	2	4	1.68	2
triple	7.2	426	327	509	6	2	5	2.74	1
trophy	6.4	368	617	447	6	2	5	2.38	0
trot	6.5	374	425	439	4	1	4	2.83	3
trouser	4.3	232	655	628	7	2	6	2.99	0
truck	4.9	261	590	484	5	1	4	2.79	4
trust	6.0	336	359	581	5	1	5	3.02	2
trustee	11.6	700	205	415	7	2	6	2.46	1
tube	5.9	337	548	523	4	1	4	1.85	3
tulip	6.1	354	632	432	5	2	6	1.96	0
tumbler	7.5	449	553	463	7	2	7	2.71	3
tune	5.4	291	420	558	4	1	4	2.72	5
turban	8.3	507	576	411	6	2	5	2.25	0
turf	8.0	488	520	452	4	1	3	2.15	3
twelfth	5.9	328	343	501	7	1	6	1.59	0
twice	4.9	260	223	613	5	1	4	2.83	2
twin	5.2	307	543	490	4	1	4	1.95	3
type	6.0	327	423	586	4	1	3	2.22	3
unique	7.5	433	239	502	6	2	5	2.25	0
unite	7.8	466	327	482	5	2	5	3.02	2
upgrade	8.9	531	284	505	7	2	6	1.92	0
upheld	9.2	560	192	447	6	2	6	2.38	1
uplift	8.7	540	295	445	6	2	6	1.62	0
upward	5.4	310	238	509	6	2	5	2.20	0
urge	7.7	453	274	516	4	1	2	1.73	0
urgent	6.8	400	285	516	6	2	5	2.33	0
urine	7.8	466	575	479	5	2	5	2.90	1
useful	6.2	339	217	621	6	2	6	2.00	0
useless	6.2	349	220	600	7	2	6	2.48	0
vacant	7.7	456	263	506	6	2	6	2.63	0
vaccine	8.3	492	409	437	7	2	6	2.76	0
vague	8.6	518	225	517	5	1	3	2.28	2
vain	8.0	488	305	502	4	1	3	2.85	7
vandal	7.9	480	450	460	6	2	5	2.56	1
vanish	5.6	315	384	486	6	2	5	2.52	1
vary	7.8	469	172	510	4	2	4	2.87	3
vast	7.7	463	366	479	4	1	4	3.08	10
veal	9.6	581	396	395	4	1	3	3.22	11
vehicle	5.8	333	619	541	7	2	4	2.22	0
vein	7.4	435	511	506	4	1	3	2.49	3
verge	8.0	495	415	466	5	1	3	2.46	4
version	7.5	446	213	527	7	2	4	2.84	0
versus	7.1	420	170	496	6	2	5	2.30	1
vest	4.8	263	571	475	4	1	4	3.39	11
vicar	5.7	327	570	449	5	2	5	2.32	0
vicious	7.7	469	344	482	7	2	5	2.80	0
virile	12.1	700	230	367	6	2	5	2.87	0
visa	10.1	616	473	542	4	2	4	2.05	1
visit	4.6	229	279	591	5	2	5	2.51	0
void	8.8	531	274	439	4	1	3	2.49	0
vomit	7.4	438	580	513	5	2	5	2.56	0
voter	8.1	477	257	488	5	2	5	3.13	2
vowel	6.8	393	330	508	5	2	4	2.71	3
wagon	6.3	353	576	450	5	2	5	2.20	0
wake	4.6	241	366	617	4	1	3	3.35	15
wallet	5.5	305	605	618	6	2	5	3.08	4
ward	6.8	400	473	439	4	1	3	3.15	15
warmth	5.4	315	449	566	6	1	4	2.59	0
warn	5.9	328	301	534	4	1	3	3.06	14
warrant	9.2	560	232	434	7	2	6	2.90	0
wave	4.8	260	594	551	4	1	3	3.58	14
weak	5.5	317	311	549	4	1	3	3.13	8
wealth	7.6	452	400	510	6	1	4	2.78	1
wedge	7.4	438	446	490	5	1	3	2.36	3
weed	6.1	349	575	495	4	1	3	3.56	10
weigh	5.7	315	384	553	5	1	2	2.31	0
weight	5.9	333	373	592	6	1	3	2.60	3
weird	6.3	345	279	621	5	1	3	2.68	0
welfare	9.7	616	258	495	7	2	6	2.64	0
wheel	3.9	214	622	530	5	1	3	3.39	0
whether	6.9	407	154	634	7	2	5	3.09	1
whimper	7.5	446	338	417	7	2	6	2.74	1
wigwam	7.3	433	523	339	6	2	6	1.88	0
wild	6.0	345	341	544	4	1	4	3.54	7
wilt	8.0	484	432	447	4	1	4	3.42	11
wing	4.7	246	576	485	4	1	3	3.50	11
wire	5.6	314	562	473	4	2	4	3.57	17
wise	6.9	400	320	502	4	1	3	3.34	9
wither	8.6	533	348	426	6	2	5	3.32	3
witty	8.7	538	307	503	5	2	4	2.44	3
woke	5.4	291	280	617	4	1	3	2.85	7
womb	8.3	498	461	451	4	1	3	2.88	3
wonky	5.7	319	403	499	5	2	5	2.67	0
worn	5.9	320	400	510	4	1	3	3.16	12
worse	5.5	302	238	607	5	1	3	3.49	4
worship	6.9	415	445	464	7	2	5	2.30	1
wound	6.4	341	570	479	5	1	4	3.52	8
wrap	5.2	283	418	513	4	1	3	1.88	2
wrath	10.6	663	279	426	5	1	3	2.97	0
wreck	6.5	348	570	490	5	1	3	2.84	2
wrist	5.2	282	553	539	5	1	4	2.94	4
yeast	8.1	492	427	458	5	1	4	3.23	3
yield	9.9	626	300	439	5	1	4	2.54	2
yoga	10.4	656	515	479	4	2	4	1.95	1
zero	4.6	239	485	520	4	2	4	2.29	1
